Multi Channel DataManager 1.14.8.22147 ASCII Export
File version: 1
Stream label: Spike Detector (1);Spike Detector; Spike Timestamps1
Stream type: TimeStamp
Data subtype: NeuralSpike

47 (ID=0) [µs],48 (ID=1) [µs],46 (ID=2) [µs],45 (ID=3) [µs],38 (ID=4) [µs],37 (ID=5) [µs],28 (ID=6) [µs],36 (ID=7) [µs],27 (ID=8) [µs],17 (ID=9) [µs],26 (ID=10) [µs],16 (ID=11) [µs],35 (ID=12) [µs],25 (ID=13) [µs],15 (ID=14) [µs],14 (ID=15) [µs],24 (ID=16) [µs],34 (ID=17) [µs],13 (ID=18) [µs],23 (ID=19) [µs],12 (ID=20) [µs],22 (ID=21) [µs],33 (ID=22) [µs],21 (ID=23) [µs],32 (ID=24) [µs],31 (ID=25) [µs],44 (ID=26) [µs],43 (ID=27) [µs],41 (ID=28) [µs],42 (ID=29) [µs],52 (ID=30) [µs],51 (ID=31) [µs],53 (ID=32) [µs],54 (ID=33) [µs],61 (ID=34) [µs],62 (ID=35) [µs],71 (ID=36) [µs],63 (ID=37) [µs],72 (ID=38) [µs],82 (ID=39) [µs],73 (ID=40) [µs],83 (ID=41) [µs],64 (ID=42) [µs],74 (ID=43) [µs],84 (ID=44) [µs],85 (ID=45) [µs],75 (ID=46) [µs],65 (ID=47) [µs],86 (ID=48) [µs],76 (ID=49) [µs],87 (ID=50) [µs],77 (ID=51) [µs],66 (ID=52) [µs],78 (ID=53) [µs],67 (ID=54) [µs],68 (ID=55) [µs],55 (ID=56) [µs],56 (ID=57) [µs],58 (ID=58) [µs],57 (ID=59) [µs]
64499160,,1071920,177141720,64434960,1212400,,26630400,,,1187840,,,,,83494720,,,1483760,,,,,1288560,,90984120,1011320,1013080,,1130080,17169000,1112920,,,,995400,,,,,16926160,9376560,,10152120,,10160000,119182320,,1184520,1028600,,,,1032120,1336960,591992840,223858760,,,
223703960,,9056960,,177970360,1232920,,576386440,,,1553320,,,,,223641400,,,9615800,,,,,9241480,,423644480,1014520,1021480,,1135760,26630400,1152360,,,,1121960,,,,,64375560,279180200,,224585960,,64370440,163492080,,1189200,1137120,,,,1051320,1492640,593246760,,,,
,,24815080,,,1250440,,,,,1670160,,,,,315449720,,,16886600,,,,,9619920,,,1076040,1042480,,1139320,33959520,1222840,,,,2613280,,,,,214321600,531430800,,243663680,,,266325800,,1195200,1221240,,,,1185120,1663360,596405520,,,,
,,33919960,,,1269760,,,,,1787080,,,,,436007560,,,33965800,,,,,10231880,,,1084600,1075640,,1143280,196053840,1417760,,,,8996280,,,,,243515320,,,301349880,,,344068840,,1206680,1406600,,,,1484880,34011360,598004560,,,,
,,41632200,,,1331240,,,,,2102520,,,,,457520560,,,33978480,,,,,16941440,,,1286880,1491440,,1158520,257938520,1491000,,,,9075600,,,,,256845000,,,424617280,,,531426520,,1336280,1486920,,,,1574800,41776080,599621960,,,,
,,51874680,,,1484400,,,,,9147840,,,,,469787840,,,35147200,,,,,25019320,,,1340320,1913880,,1177080,320847520,1566280,,,,9429840,,,,,286560880,,,,,,531768120,,1412880,1570640,,,,1668880,42166240,600192480,,,,
,,52730800,,,9169880,,,,,9289320,,,,,510646880,,,64365880,,,,,25697480,,,1414680,2229200,,1194920,360845440,2219360,,,,9827720,,,,,366384520,,,,,,,,1671240,1856040,,,,1861960,64855960,,,,,
,,64337200,,,9183640,,,,,9369680,,,,,,,,75537600,,,,,33995000,,,2231920,2371200,,1235560,390328880,2529120,,,,10007880,,,,,383240240,,,,,,,,2233680,2079480,,,,2303440,91346840,,,,,
,,75519240,,,9199640,,,,,10188840,,,,,,,,75567440,,,,,34008360,,,9010760,9013160,,1280120,397308560,2643760,,,,10092520,,,,,493690440,,,,,,,,2409240,2694400,,,,2368360,147445880,,,,,
,,83344360,,,9216960,,,,,10388800,,,,,,,,83417240,,,,,35536640,,,9423040,9031240,,1339240,531430400,9100920,,,,10271440,,,,,591170480,,,,,,,,9157280,9028760,,,,2514000,147858080,,,,,
,,99616560,,,9611960,,,,,17540440,,,,,,,,83425520,,,,,42158640,,,9713360,9045880,,1347760,597143000,9127600,,,,10989440,,,,,,,,,,,,,9167560,9187800,,,,2704120,163521760,,,,,
,,99627320,,,9876800,,,,,18073000,,,,,,,,83716080,,,,,52027680,,,9717360,9077480,,1362480,,9189160,,,,11084160,,,,,,,,,,,,,9437960,9364360,,,,9028880,223598120,,,,,
,,108076440,,,10257560,,,,,24786960,,,,,,,,91176280,,,,,52397040,,,9850480,10020600,,1411080,,9296160,,,,11364960,,,,,,,,,,,,,9503680,9815200,,,,9052720,223726840,,,,,
,,109383640,,,10389640,,,,,24926520,,,,,,,,99688560,,,,,64383560,,,10151120,10525720,,1417440,,9379000,,,,11614040,,,,,,,,,,,,,9597560,9852800,,,,9062120,256897040,,,,,
,,119132560,,,16945840,,,,,25471440,,,,,,,,108140640,,,,,64938040,,,10973680,10975520,,1485840,,9382200,,,,11718920,,,,,,,,,,,,,9844880,10357400,,,,9139000,302376640,,,,,
,,119872520,,,16971520,,,,,33992280,,,,,,,,137476160,,,,,65496200,,,11076600,11022120,,1564480,,9437400,,,,16775880,,,,,,,,,,,,,10166000,10720640,,,,9243280,360710960,,,,,
,,128664680,,,16988640,,,,,34277760,,,,,,,,147301520,,,,,75527000,,,11352480,11283640,,1568000,,9520080,,,,17073680,,,,,,,,,,,,,10261560,11039200,,,,9274480,384055480,,,,,
,,137442600,,,17004880,,,,,34435160,,,,,,,,153984280,,,,,76365760,,,16791520,11370600,,1655760,,9592800,,,,17085440,,,,,,,,,,,,,16930280,11329560,,,,9363680,389891200,,,,,
,,147266880,,,17024360,,,,,35233280,,,,,,,,154147240,,,,,91052680,,,16794840,11714600,,1659520,,9613240,,,,17650160,,,,,,,,,,,,,16938840,16809040,,,,9585080,390148400,,,,,
,,153901320,,,17378000,,,,,41687560,,,,,,,,163472640,,,,,91076400,,,16850760,16794200,,1778720,,9672800,,,,17788720,,,,,,,,,,,,,16951040,16989400,,,,9664600,436110080,,,,,
,,153948880,,,24931320,,,,,41729440,,,,,,,,177964920,,,,,92128920,,,17037560,16801240,,1784400,,9754400,,,,17924600,,,,,,,,,,,,,17015040,17256680,,,,9861120,564904160,,,,,
,,163438880,,,24960400,,,,,41864120,,,,,,,,186743720,,,,,99663360,,,17366200,16808960,,1913680,,10018360,,,,18150600,,,,,,,,,,,,,17072160,17872520,,,,10013320,564912080,,,,,
,,177080200,,,24981920,,,,,42240200,,,,,,,,186904480,,,,,100323560,,,17370400,16827520,,1938760,,10138920,,,,18433880,,,,,,,,,,,,,17171240,18151520,,,,10039000,592322880,,,,,
